TC ID,Heat Flux,Depth,Placement,Peak_T,Time_to_reach_Peak_T/s,Time_of_the_Peak_of_T_Setpoint,Time_Lag,Degree hours,
1,High,Surface,top,625.3154,379,1980,-1601,0,
2,High,Surface,top,679.5404,1948,1980,-32,0,
3,High,Surface,top,644.0438,391,1980,-1589,0,
4,High,Surface,top,672.941,1949,1980,-31,0,
5,High,Surface,top,636.0503,1551,1980,-429,0,
6,High,Surface,bottom,570.0371,4012,1980,2032,1985.889126,
7,High,Surface,bottom,581.531,3924,1980,1944,2016.98936,
8,High,Surface,bottom,604.0732,2461,1980,481,1960.220526,
9,High,Surface,bottom,608.7993,3792,1980,1812,2101.868895,
10,High,Surface,bottom,630.1278,2540,1980,560,1967.346038,
11,High,1 cm,top,674.9079,2397,1980,417,0,
12,High,1 cm,top,660.158,2663,1980,683,0,
13,High,1 cm,top,676.839,2512,1980,532,0,
14,High,1 cm,top,692.2046,2344,1980,364,0,
15,High,1 cm,top,671.53,2555,1980,575,0,
16,High,1 cm,bottom,539.4662,4851,1980,2871,1709.363362,
17,High,1 cm,bottom,527.7906,5009,1980,3029,1687.181038,
18,High,1 cm,bottom,534.5196,4451,1980,2471,1802.863994,
19,High,1 cm,bottom,545.7824,4667,1980,2687,1778.738063,
20,High,1 cm,bottom,584.3838,5120,1980,3140,1772.606146,
21,High,5 cm,top,383.094,7741,1980,5761,0,
22,High,5 cm,top,374.489,7730,1980,5750,0,
23,High,5 cm,top,378.6356,7920,1980,5940,0,
24,High,5 cm,top,385.5921,7809,1980,5829,0,
25,High,5 cm,top,386.7874,7749,1980,5769,0,
26,High,5 cm,bottom,274.1021,9364,1980,7384,922.1686999,
27,High,5 cm,bottom,278.1763,9376,1980,7396,935.1259404,
28,High,5 cm,bottom,273.0751,9374,1980,7394,918.7722742,
29,High,5 cm,bottom,266.6407,9585,1980,7605,895.8912292,
30,High,5 cm,bottom,288.3861,9373,1980,7393,969.3758362,
31,Low,Surface,top,684.8657,282,0,282,0,
32,Low,Surface,top,642.5531,436,0,436,0,
33,Low,Surface,top,670.3142,397,0,397,0,
34,Low,Surface,top,651.1398,264,0,264,0,
35,Low,Surface,top,672.1639,274,0,274,0,
36,Low,Surface,bottom,419.7386,2005,0,2005,650.359004,
37,Low,Surface,bottom,358.3939,2036,0,2036,642.7555813,
38,Low,Surface,bottom,354.8432,1804,0,1804,630.5141825,
39,Low,Surface,bottom,393.3121,1845,0,1845,646.9289482,
40,Low,Surface,bottom,392.9716,1973,0,1973,624.9596365,
41,Low,1 cm,top,443.8919,1690,0,1690,0,
42,Low,1 cm,top,474.9731,1388,0,1388,0,
43,Low,1 cm,top,479.1172,1288,0,1288,0,
44,Low,1 cm,top,496.402,1328,0,1328,0,
45,Low,1 cm,top,489.2312,1194,0,1194,0,
46,Low,1 cm,bottom,279.4741,3209,0,3209,520.9887835,
47,Low,1 cm,bottom,314.189,3279,0,3279,570.5378345,
48,Low,1 cm,bottom,286.1131,3293,0,3293,526.6379408,
49,Low,1 cm,bottom,311.1493,3255,0,3255,561.8390691,
50,Low,1 cm,bottom,282.264,3172,0,3172,517.3346498,
51,Low,5 cm,top,180.4123,5879,0,5879,0,
52,Low,5 cm,top,181.3912,5842,0,5842,0,
53,Low,5 cm,top,182.2497,5836,0,5836,0,
54,Low,5 cm,top,185.2981,5775,0,5775,0,
55,Low,5 cm,top,170.9117,5877,0,5877,0,
56,Low,5 cm,bottom,129.2643,7775,0,7775,221.2525405,
57,Low,5 cm,bottom,129.4261,7784,0,7784,221.716647,
58,Low,5 cm,bottom,130.2592,7796,0,7796,223.2575281,
59,Low,5 cm,bottom,130.6624,7591,0,7591,228.0577177,
60,Low,5 cm,bottom,131.5703,7586,0,7586,226.696606,
