Time [sec],Temperature [C],T Setpoint [C],heat flux [kW/m²],HF setpoint [kW/m²],duty cycle [-],"control mode [1=T, 0=HF]",TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,errors,Energy dose [kJ/m²]
0,20.621895,20,0.192636,0,19.421286,1,20.673993,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,0,0.1545695
1,20.627452,22.395833,0.116503,0.125,21.850696,1,20.679782,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,0,0.32587
2,20.683024,24.791667,0.535237,0.25,24.405921,1,20.704788,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,0,0.3068365
3,20.798558,27.1875,0.078436,0.375,27.042535,1,20.742065,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,0,0.1165025
4,20.977277,29.583333,0.154569,0.5,29.747536,1,20.774016,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,0,0.192636
5,21.219616,31.979167,0.230703,0.625,32.514279,1,20.827266,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,0,0.135536
6,21.529699,34.375,0.040369,0.75,35.338809,1,20.875188,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,0,0.135536
7,21.883183,36.770833,0.230703,0.875,38.213352,1,20.927507,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,0,0.1165025
8,22.298063,39.166667,0.002302,1,41.159163,1,20.992092,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,0,0.0784355
9,22.793454,41.5625,0.154569,1.125,44.155336,1,21.045563,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,0,0.3068365
10,23.320736,43.958333,0.459104,1.25,47.178815,1,21.112225,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,0,0.363937
