Time [sec],Temperature [C],T Setpoint [C],heat flux [kW/m≤],HF setpoint [kW/m≤],duty cycle [-],"control mode [1=T, 0=HF]",TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,errors
0,20.755957,0,0.044483,0,0,1,20.563773,21.035378,21.601654,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,
1,20.767071,0,0.047741,0,0,1,20.578825,21.042323,21.615535,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,
1.999,20.764292,0,0.04487,0,0,1,20.584845,21.043943,21.620856,2293.727471,2293.727471,2293.727471,2293.727471,2293.727471,2293.727471,2293.727471,2293.727471,2293.727471,
2.999,20.772396,0,0.047133,0,0,1,20.567246,21.036073,21.600265,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,
4,20.761745,20,0.050004,0,19.393655,1,20.567015,21.044174,21.615072,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,
5,20.763829,22.475,0.04752,0.125,21.905467,1,20.570488,21.058988,21.608132,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,
6,20.801336,24.952475,0.053537,0.250125,24.544799,1,20.574656,21.083061,21.617849,2293.720301,2293.720301,2293.720301,2293.720301,2293.720301,2293.720301,2293.720301,2293.720301,2293.720301,
6.999,20.913154,27.427475,0.050887,0.375125,27.282703,1,20.563078,21.113151,21.611833,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,
8,21.054822,29.902475,0.062868,0.500125,30.079214,1,20.568404,21.163607,21.615535,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,
9,21.277242,32.375,0.065076,0.625,32.974788,1,20.589708,21.24924,21.625483,2293.733297,2293.733297,2293.733297,2293.733297,2293.733297,2293.733297,2293.733297,2293.733297,2293.733297,
10,21.57898,34.852475,0.068996,0.750125,35.921382,1,20.568404,21.285342,21.623864,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,
11,21.919266,37.327475,0.084344,0.875125,38.909192,1,20.568867,21.366337,21.622938,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,
12,22.290896,39.802475,0.090693,1.000125,41.978121,1,20.564236,21.464912,21.621782,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,2293.696101,
13,22.727815,42.277475,0.10201,1.125125,45.133429,1,20.572804,21.562785,21.625483,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,
14,23.230178,44.752475,0.114267,1.250125,48.338489,1,20.575583,21.682858,21.624558,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,
15,23.842227,47.227475,0.125087,1.375125,51.589514,1,20.571646,21.787651,21.633812,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,
16,24.54347,49.702475,0.145294,1.500125,54.837397,1,20.56192,21.897755,21.616692,2293.691171,2293.691171,2293.691171,2293.691171,2293.691171,2293.691171,2293.691171,2293.691171,2293.691171,
17,25.268246,52.177475,0.1549,1.625125,58.097105,1,20.576509,22.047627,21.646305,2293.72523,2293.72523,2293.72523,2293.72523,2293.72523,2293.72523,2293.72523,2293.72523,2293.72523,
17.999,26.051068,54.652475,0.169696,1.750125,61.431169,1,20.576277,22.194936,21.632655,2293.716716,2293.716716,2293.716716,2293.716716,2293.716716,2293.716716,2293.716716,2293.716716,2293.716716,
19,26.999095,57.127475,0.197741,1.875125,64.80113,1,20.569099,22.337601,21.635663,2293.719404,2293.719404,2293.719404,2293.719404,2293.719404,2293.719404,2293.719404,2293.719404,2293.719404,
20,27.940989,59.6,0.205194,2,68.096212,1,20.562152,22.498049,21.630804,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,
21,28.842978,62.077475,0.222143,2.125125,71.485609,1,20.570488,22.654776,21.629879,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,
22,29.927656,64.552475,0.246987,2.250125,74.998786,1,20.570951,22.842218,21.644917,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,
23,31.124744,67.027475,0.271444,2.375125,78.411589,1,20.569099,23.015766,21.637282,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,
24,32.399502,69.502475,0.293031,2.500125,81.7861,1,20.567941,23.207537,21.642372,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,
