Time [sec],Temperature [C],T Setpoint [C],heat flux [kW/m²],HF setpoint [kW/m²],duty cycle [-],"control mode [1=T, 0=HF]",TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,errors,Energy dose [kJ/m²]
0,21.973387,722,0.116503,45,100,1,21.305013,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,0,0.0974695
1,21.987264,722,0.078436,45,100,1,21.343428,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,0,-0.0357645
2,22.179674,722,-0.149965,45,100,1,21.44617,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,0,-0.054798
3,22.665177,722,0.040369,45,100,1,21.582451,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,0,0.173603
4,23.378255,722,0.306837,45,100,1,21.757348,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,0,0.173603
5,24.30831,722,0.040369,45,100,1,21.926667,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,0,0.0594025
6,25.396911,722,0.078436,45,100,1,22.086711,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,0,0.3449035
7,26.625604,722,0.611371,45,100,1,22.257831,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,0,0.38297
8,27.990672,722,0.154569,45,100,1,22.416672,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,0,0.192636
9,29.452988,722,0.230703,45,100,1,22.58728,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,0,0.26877
10,31.035072,722,0.306837,45,100,1,22.760173,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,0,0.32587
11,32.788591,722,0.344903,45,100,1,22.936737,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,0,0.44007
12,34.599793,722,0.535237,45,100,1,23.099179,2293.705064,2293.705064,2293.705064,2293.705064,2293.705064,2293.705064,2293.705064,2293.705064,2293.705064,2293.705064,2293.705064,0,0.630404
13,36.501045,722,0.725571,45,100,1,23.267141,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,0,0.6113705
14,38.450472,722,0.49717,45,100,1,23.443163,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,0,0.478137
15,40.478366,722,0.459104,45,100,1,23.602067,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,0,0.611371
16,42.558544,722,0.763638,45,100,1,23.785655,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,0,0.6494375
17,44.815479,722,0.535237,45,100,1,23.952359,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,0,0.725571
18,47.053474,722,0.915905,45,100,1,24.121577,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,0,0.915905
19,49.317105,722,0.915905,45,100,1,24.297463,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,0,0.8397715
20,51.668274,722,0.763638,45,100,1,24.465705,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,0,0.9730055
21,53.972932,722,1.182373,45,100,1,24.635766,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,0,0.9349385
22,56.427636,722,0.687504,45,100,1,24.795651,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,0,0.8968715
23,58.884864,722,1.106239,45,100,1,24.957127,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,0,1.144306
24,61.422846,722,1.182373,45,100,1,25.127804,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,2293.716267,0,1.1062395
25,63.969159,722,1.030106,45,100,1,25.299607,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,0,1.030106
26,66.582024,722,1.030106,45,100,1,25.450402,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,0,1.2965735
27,69.229334,722,1.563041,45,100,1,25.632297,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,0,1.2204395
28,71.964134,722,0.877838,45,100,1,25.788347,2293.727023,2293.727023,2293.727023,2293.727023,2293.727023,2293.727023,2293.727023,2293.727023,2293.727023,2293.727023,2293.727023,0,1.0491385
29,74.659349,722,1.220439,45,100,1,25.945987,2293.683553,2293.683553,2293.683553,2293.683553,2293.683553,2293.683553,2293.683553,2293.683553,2293.683553,2293.683553,2293.683553,0,1.4678735
30,77.246812,722,1.715308,45,100,1,26.128028,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,0,1.486907
31,79.909351,722,1.258506,45,100,1,26.269032,2293.699238,2293.699238,2293.699238,2293.699238,2293.699238,2293.699238,2293.699238,2293.699238,2293.699238,2293.699238,2293.699238,0,1.296573
32,82.67053,722,1.33464,45,100,1,26.433742,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,0,1.5630405
33,85.474942,722,1.791441,45,100,1,26.603034,2293.734193,2293.734193,2293.734193,2293.734193,2293.734193,2293.734193,2293.734193,2293.734193,2293.734193,2293.734193,2293.734193,0,1.8104745
34,88.311025,722,1.829508,45,100,1,26.768614,2293.723886,2293.723886,2293.723886,2293.723886,2293.723886,2293.723886,2293.723886,2293.723886,2293.723886,2293.723886,2293.723886,0,1.886608
35,91.255596,722,1.943708,45,100,1,26.924039,2293.718956,2293.718956,2293.718956,2293.718956,2293.718956,2293.718956,2293.718956,2293.718956,2293.718956,2293.718956,2293.718956,0,2.038875
36,94.12925,722,2.134042,45,100,1,27.066779,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,0,2.076942
37,97.05922,722,2.019842,45,100,1,27.219397,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,0,2.0388755
38,100.052375,722,2.057909,45,100,1,27.372454,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,0,2.2292095
39,103.011642,722,2.40051,45,100,1,27.519736,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,0,2.4766435
40,106.046253,722,2.552777,45,100,1,27.662627,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,2293.704616,0,2.40051
41,109.169473,722,2.248243,45,100,1,27.831723,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,0,2.495677
42,112.294002,722,2.743111,45,100,1,27.965831,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,0,2.686011
43,115.396149,722,2.628911,45,100,1,28.11556,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,0,2.686011
44,118.519565,722,2.743111,45,100,1,28.266189,2293.718508,2293.718508,2293.718508,2293.718508,2293.718508,2293.718508,2293.718508,2293.718508,2293.718508,2293.718508,2293.718508,0,2.8763445
45,121.684917,722,3.009578,45,100,1,28.407369,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,0,3.104745
46,125.015283,722,3.199912,45,100,1,28.543473,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,0,3.104745
47,128.248204,722,3.009578,45,100,1,28.691972,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,2293.717164,0,3.237979
48,131.560656,722,3.46638,45,100,1,28.832176,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,0,3.6376805
49,134.972895,722,3.808981,45,100,1,28.97397,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,0,3.5805805
50,138.275671,722,3.35218,45,100,1,29.110001,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,0,3.7138145
