Time [sec],Temperature [C],T Setpoint [C],heat flux [kW/m≤],HF setpoint [kW/m≤],duty cycle [-],"control mode [1=T, 0=HF]",TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,errors
0,21.535714,0,0.052875,0,0,1,21.304087,21.369808,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,2293.697893,
1.001,21.52484,0,0.051219,0,0,1,21.300153,21.377213,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,
2.001,21.527616,0,0.052047,0,0,1,21.302699,21.39156,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,2293.714027,
3.001,21.531087,0,0.053814,0,0,1,21.308716,21.392949,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,
4.001,21.532012,0,0.051219,0,0,1,21.292053,21.389246,2293.694308,2293.694308,2293.694308,2293.694308,2293.694308,2293.694308,2293.694308,2293.694308,2293.694308,2293.694308,
5.001,21.525534,0,0.046029,0,0,1,21.298533,21.397808,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,
6.001,21.539185,0,0.047354,0,0,1,21.288813,21.39642,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,
7.001,21.529699,0,0.04349,0,0,1,21.311955,21.40313,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,
8.001,21.536408,742,0.05017,45,100,1,21.309178,21.410072,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,
9.001,21.532012,742,0.051716,45,100,1,21.305476,21.464912,2293.722541,2293.722541,2293.722541,2293.722541,2293.722541,2293.722541,2293.722541,2293.722541,2293.722541,2293.722541,
10,21.678925,742,0.060935,45,100,1,21.30617,21.545895,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,
11.001,22.052946,742,0.085282,45,100,1,21.301542,21.690723,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,2293.709993,
12.001,22.658012,742,0.110181,45,100,1,21.296219,21.875319,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,
13.001,23.465337,742,0.140049,45,100,1,21.301542,22.078617,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,
14.001,24.436397,742,0.165334,45,100,1,21.287888,22.326503,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,
15.001,25.557376,742,0.198735,45,100,1,21.292748,22.566938,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,
16.001,26.806609,742,0.240969,45,100,1,21.292748,22.848921,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,
17.001,28.185013,742,0.265758,45,100,1,21.288582,23.121359,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,
18.001,29.663136,742,0.309151,45,100,1,21.286962,23.405974,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,
19.001,31.227478,742,0.348681,45,100,1,21.281176,23.696289,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,
20.001,32.932603,742,0.388265,45,100,1,21.286268,23.994839,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,
21.001,34.735333,742,0.43602,45,100,1,21.294136,24.284999,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,2293.724782,
22.001,36.594822,742,0.478641,45,100,1,21.289276,24.573237,2293.721197,2293.721197,2293.721197,2293.721197,2293.721197,2293.721197,2293.721197,2293.721197,2293.721197,2293.721197,
23,38.532013,742,0.521648,45,100,1,21.289739,24.865089,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,
24,40.53407,742,0.571667,45,100,1,21.276779,25.128957,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,
25.001,42.584191,742,0.622016,45,100,1,21.285111,25.425502,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,
26.001,44.68815,742,0.670103,45,100,1,21.274002,25.679091,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,
27.001,46.901935,742,0.728513,45,100,1,21.294599,25.962579,2293.726127,2293.726127,2293.726127,2293.726127,2293.726127,2293.726127,2293.726127,2293.726127,2293.726127,2293.726127,
28,49.111389,742,0.782451,45,100,1,21.281176,26.213739,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,
29.001,51.414854,742,0.836611,45,100,1,21.284416,26.472901,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,2293.715819,
30.001,53.734053,742,0.901646,45,100,1,21.283722,26.722328,2293.72299,2293.72299,2293.72299,2293.72299,2293.72299,2293.72299,2293.72299,2293.72299,2293.72299,2293.72299,
31.001,56.086093,742,0.956357,45,100,1,21.274928,26.961337,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,
32.001,58.547771,742,1.020399,45,100,1,21.285574,27.198221,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,
33.001,61.032936,742,1.09228,45,100,1,21.279094,27.427227,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,
34.001,63.594388,742,1.156598,45,100,1,21.277937,27.655264,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,2293.709545,
35.001,66.078724,742,1.23019,45,100,1,21.281871,27.866689,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,
36.001,68.684665,742,1.299476,45,100,1,21.270531,28.084742,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,2293.69879,
37.001,71.336634,742,1.37594,45,100,1,21.284648,28.310798,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,2293.711338,
38.001,74.075805,742,1.449587,45,100,1,21.284416,28.509219,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,2293.706408,
39,76.837112,742,1.538859,45,100,1,21.283259,28.721163,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,
