"Time","Temperature","T_Setpoint","Heat Flux","HF_Setpoint","duty cycle","control mode","TC21","TC22","TC23","TC24","TC25","TC26","TC27","TC28","TC29","TC30","hours"
0,184.640943,20,0.045588,0,9.91617,1,21.560008,21.596564,21.551216,21.564173,21.503785,21.562322,21.523914,21.494298,21.492678,21.464218,0
1,184.906853,22.477475,0.047133,0.125125,2.952318,1,21.575741,21.607206,21.56533,21.569957,21.518824,21.556538,21.532475,21.500545,21.497537,21.478101,0.000277777777777778
2,185.121725,24.952475,0.050335,0.250125,0,1,21.577592,21.60443,21.565561,21.577361,21.525534,21.558157,21.534557,21.507949,21.495455,21.475093,0.000555555555555556
3,185.063229,27.427475,0.047133,0.375125,0,1,21.572965,21.593787,21.563479,21.564173,21.514428,21.555844,21.526691,21.499157,21.490364,21.466763,0.000833333333333333
4,185.17859,29.9,0.055967,0.5,0,1,21.581525,21.601654,21.562785,21.566718,21.515585,21.549134,21.524608,21.509338,21.499388,21.468846,0.00111111111111111
5,185.446365,32.375,0.050115,0.625,0,1,21.573659,21.598183,21.554224,21.568106,21.51651,21.55862,21.525765,21.502396,21.496843,21.466995,0.00138888888888889
6,185.595985,34.852475,0.051771,0.750125,0,1,21.570882,21.598415,21.564867,21.5688,21.515353,21.552373,21.527616,21.487588,21.491521,21.471622,0.00166666666666667
7,185.691303,37.327475,0.051219,0.875125,0,1,21.569263,21.598415,21.56533,21.565098,21.517436,21.557695,21.524146,21.499388,21.488051,21.471622,0.00194444444444444
8,185.755392,39.802475,0.0542,1.000125,0,1,21.566255,21.594713,21.548208,21.556306,21.507949,21.550059,21.522989,21.486431,21.476944,21.467457,0.00222222222222222
9,185.816218,42.277475,0.053648,1.125125,0,1,21.580831,21.597952,21.555844,21.563479,21.520675,21.554224,21.526228,21.493372,21.485505,21.464449,0.0025
10,185.967003,44.752475,0.053648,1.250125,0,1,21.579906,21.602348,21.562322,21.573427,21.521832,21.563247,21.52831,21.509569,21.502859,21.47463,0.00277777777777778
11,186.101008,47.227475,0.049121,1.375125,0,1,21.574816,21.599803,21.564173,21.564173,21.525997,21.567181,21.529467,21.502165,21.489439,21.479258,0.00305555555555556
12,186.243868,49.702475,0.049452,1.500125,0,1,21.577361,21.60952,21.562553,21.580137,21.522989,21.558851,21.527848,21.507024,21.499388,21.466763,0.00333333333333333
13,186.493001,52.177475,0.051992,1.625125,0,1,21.557695,21.582451,21.547052,21.556538,21.505404,21.536177,21.513965,21.484349,21.491059,21.457508,0.00361111111111111
14,186.546136,54.652475,0.051329,1.750125,0,1,21.576667,21.600034,21.557,21.57042,21.517899,21.55191,21.524146,21.498926,21.50633,21.471622,0.00388888888888889
15,186.747027,57.127475,0.053096,1.875125,0,1,21.566024,21.593093,21.557232,21.562553,21.508875,21.548671,21.53155,21.494298,21.495223,21.46954,0.00416666666666667
16,186.705777,59.6,0.054862,2,0,1,21.576898,21.602116,21.557463,21.572271,21.519055,21.559545,21.528079,21.493141,21.496149,21.465838,0.00444444444444444
17,186.820205,62.075,0.053979,2.125,0,1,21.561396,21.596101,21.549365,21.561628,21.508181,21.557232,21.525071,21.490827,21.492678,21.469077,0.00472222222222222
18,186.969823,64.552475,0.05409,2.250125,0,1,21.574122,21.600265,21.553993,21.565561,21.510726,21.553299,21.52322,21.493141,21.490364,21.462367,0.005
19,187.080289,67.027475,0.052102,2.375125,0,1,21.564404,21.581988,21.560471,21.55862,21.50309,21.542193,21.518593,21.487819,21.489439,21.458665,0.00527777777777778
20,187.157662,69.502475,0.054752,2.500125,0,1,21.571345,21.596564,21.557695,21.561859,21.513965,21.555844,21.525997,21.497306,21.495918,21.474399,0.00555555555555556
21,187.114781,71.977475,0.049231,2.625125,0,1,21.573196,21.594713,21.553761,21.559083,21.507024,21.54011,21.516973,21.491753,21.49129,21.471391,0.00583333333333333
