"Time","Temperature","T_Setpoint","Heat Flux","HF_Setpoint","duty cycle","control mode","TC1","TC2","TC3","TC4","TC5","TC6","TC7","TC8","TC9","TC10","hours"
0,22.259681,20,0.05823,0,19.318078,1,22.124637,22.083936,22.120474,22.114924,22.044852,21.960667,22.011317,22.07931,22.163256,22.034676,0
1,22.259681,22.475,0.059224,0.125,21.715383,1,22.13065,22.089948,22.123018,22.118162,22.031207,21.970843,22.012011,22.076767,22.177593,22.028432,0.000277777777777778
2,22.330665,24.95,0.061211,0.25,24.271096,1,22.133425,22.085555,22.123481,22.121399,22.033982,21.962054,22.003685,22.072835,22.168805,22.0282,0.000555555555555556
3,22.452738,27.425,0.057236,0.375,26.891352,1,22.146375,22.09203,22.143368,22.1325,22.048783,21.975006,22.009698,22.073529,22.170655,22.024037,0.000833333333333333
4,22.656856,29.9,0.054034,0.5,29.592657,1,22.162562,22.097349,22.140593,22.130187,22.032826,21.974312,22.011317,22.066591,22.154237,22.030051,0.00111111111111111
5,22.908313,32.375,0.061432,0.625,32.340355,1,22.184761,22.107293,22.16603,22.144062,22.048552,21.968068,22.004842,22.069366,22.173893,22.03907,0.00138888888888889
6,23.219551,34.85,0.057899,0.75,35.16556,1,22.219216,22.117468,22.18268,22.143137,22.050171,21.967143,22.006692,22.06451,22.164643,22.030051,0.00166666666666667
7,23.583129,37.325,0.057899,0.875,38.052854,1,22.249969,22.134812,22.215747,22.161174,22.054796,21.967837,22.011549,22.06821,22.167187,22.034676,0.00194444444444444
8,23.977293,39.8,0.059224,1,41.006563,1,22.288815,22.144756,22.246963,22.166493,22.05919,21.967837,22.011317,22.065435,22.156549,22.017562,0.00222222222222222
9,24.454628,42.275,0.056132,1.125,44.046136,1,22.353554,22.158862,22.281416,22.19378,22.081392,21.964136,22.009236,22.07191,22.164643,22.0282,0.0025
10,25.007641,44.75,0.060659,1.25,47.115832,1,22.399563,22.177824,22.322804,22.207885,22.069597,21.965292,22.006229,22.061503,22.162099,22.031669,0.00277777777777778
11,25.626303,47.225,0.058893,1.375,50.218728,1,22.47077,22.205804,22.374594,22.233321,22.09573,21.960435,22.011317,22.067516,22.163949,22.024731,0.00305555555555556
12,26.308657,49.7,0.05823,1.5,53.360929,1,22.564626,22.242801,22.447883,22.272167,22.116312,21.963211,22.007386,22.082086,22.173199,22.036064,0.00333333333333333
13,27.066779,52.175,0.064855,1.625,56.540799,1,22.639983,22.268236,22.498743,22.291821,22.128799,21.951646,22.000216,22.064047,22.160249,22.028894,0.00361111111111111
14,27.865769,54.65,0.060107,1.75,59.742387,1,22.739603,22.306156,22.58335,22.345,22.154468,21.95049,22.009698,22.065435,22.160018,22.023344,0.00388888888888889
15,28.773109,57.125,0.059003,1.875,62.997353,1,22.862556,22.341763,22.676272,22.383148,22.176668,21.963442,21.996284,22.063122,22.156318,22.023344,0.00416666666666667
16,29.737539,59.6,0.060935,2,66.234073,1,22.986188,22.389391,22.763871,22.430081,22.207885,21.954191,22.00461,22.059422,22.150075,22.022881,0.00444444444444444
17,30.807075,62.075,0.060328,2.125,69.499208,1,23.125056,22.436323,22.863018,22.469383,22.228696,21.950259,21.99189,22.058034,22.150537,22.012242,0.00472222222222222
18,31.91082,64.55,0.060383,2.25,72.740238,1,23.293939,22.503135,23.000284,22.537117,22.27656,21.952572,22.002529,22.063353,22.150075,22.015943,0.005
19,33.137482,67.025,0.058672,2.375,76.024191,1,23.459793,22.562546,23.116045,22.612707,22.319798,21.956272,22.006229,22.056184,22.160249,22.029588,0.00527777777777778
20,34.404568,69.5,0.059224,2.5,79.257993,1,23.636477,22.634897,23.265986,22.676503,22.359103,21.95234,22.003454,22.066822,22.154468,22.027738,0.00555555555555556
21,35.745055,71.975,0.060549,2.625,82.5196,1,23.826756,22.714872,23.418448,22.739141,22.416441,21.951415,21.994434,22.06636,22.1473,22.009005,0.00583333333333333
22,37.178069,74.45,0.058009,2.75,85.772874,1,24.046321,22.79045,23.58105,22.824885,22.47077,21.940776,21.99559,22.051327,22.140825,22.00993,0.00611111111111111
23,38.701909,76.925,0.060991,2.875,88.994078,1,24.298386,22.900456,23.747554,22.921716,22.529026,21.944708,21.990271,22.04809,22.144062,22.015943,0.00638888888888889
24,40.320788,79.4,0.05823,3,92.179823,1,24.564238,22.998204,23.935736,23.019232,22.591672,21.947946,21.993509,22.057803,22.144293,22.006923,0.00666666666666667
25,42.012786,81.875,0.059776,3.125,95.32073,1,24.839944,23.10819,24.158973,23.128522,22.681588,21.951646,21.98287,22.041845,22.138743,22.009005,0.00694444444444444
26,43.750225,84.35,0.058341,3.25,98.434049,1,25.152019,23.224633,24.383318,23.247043,22.759942,21.938694,21.991659,22.056647,22.138975,22.012474,0.00722222222222222
27,45.602963,86.825,0.059886,3.375,100,1,25.486368,23.356311,24.627691,23.372942,22.843605,21.947483,21.986802,22.042539,22.137587,22.005304,0.0075
28,47.655617,89.3,0.062647,3.5,100,1,25.829603,23.481967,24.901536,23.513841,22.945056,21.941238,21.981251,22.043695,22.140362,22.002991,0.00777777777777778
29,49.73793,91.775,0.056353,3.625,100,1,26.195307,23.632089,25.19722,23.667885,23.04488,21.932218,21.982639,22.043695,22.134581,22.004842,0.00805555555555556
30,51.929994,94.25,0.060439,3.75,100,1,26.576778,23.800202,25.515648,23.84315,23.163872,21.933606,21.981714,22.039764,22.13435,22.005304,0.00833333333333333
31,54.229335,96.725,0.060439,3.875,100,1,26.990346,23.974061,25.860947,24.026006,23.292553,21.936381,21.983333,22.027275,22.132962,22.007848,0.00861111111111111
32,56.650203,99.2,0.061101,4,100,1,27.444257,24.168668,26.223876,24.216217,23.417293,21.928286,21.975469,22.039301,22.129725,21.999522,0.00888888888888889
33,59.073937,101.675,0.061432,4.125,100,1,27.946739,24.358393,26.608331,24.403857,23.567424,21.92898,21.972694,22.03352,22.132037,21.998597,0.00916666666666667
34,61.490816,104.15,0.064193,4.25,100,1,28.477722,24.574852,27.027412,24.607617,23.712223,21.92898,21.961361,22.032363,22.110299,21.995128,0.00944444444444444
35,63.865832,106.625,0.058672,4.375,100,1,29.047732,24.80534,27.462667,24.826564,23.867625,21.923892,21.974544,22.031669,22.117006,22.005767,0.00972222222222222
36,66.317726,109.1,0.059114,4.5,100,1,29.630985,25.043391,27.922357,25.071991,24.047937,21.923198,21.969687,22.030051,22.119549,21.999522,0.01
37,68.960252,111.575,0.059886,4.625,100,1,30.254081,25.280698,28.411508,25.34434,24.2423,21.924354,21.977782,22.030051,22.113305,21.995822,0.0102777777777778
38,71.625996,114.05,0.062757,4.75,100,1,30.919704,25.541238,28.908936,25.608784,24.433628,21.906082,21.959742,22.028432,22.101511,21.989808,0.0105555555555556
39,74.367354,116.525,0.058506,4.875,100,1,31.63121,25.835365,29.458271,25.909806,24.661839,21.914408,21.963905,22.022187,22.105212,21.987033,0.0108333333333333
40,77.124863,119,0.057789,5,100,1,32.331471,26.128028,30.046806,26.206827,24.887003,21.917878,21.969224,22.03537,22.109605,21.996284,0.0111111111111111
41,79.964408,121.475,0.059666,5.125,100,1,33.02921,26.404949,30.576735,26.501002,25.103588,21.909551,21.949334,22.015943,22.101974,21.986339,0.0113888888888889
42,82.823454,123.95,0.062536,5.25,100,1,33.753942,26.719104,31.154556,26.82526,25.353794,21.905619,21.960435,22.01548,22.10498,21.982176,0.0116666666666667
43,85.603983,126.425,0.060659,5.375,100,1,34.493727,27.037081,31.740083,27.163693,25.591494,21.908163,21.95766,22.017099,22.097349,21.979401,0.0119444444444444
44,88.449804,128.9,0.06077,5.5,100,1,35.263156,27.383961,32.415536,27.537225,25.864174,21.916259,21.961361,22.025194,22.10868,21.99374,0.0122222222222222
45,91.369147,131.375,0.061211,5.625,100,1,36.10805,27.73579,33.129928,27.905105,26.140471,21.910708,21.953728,22.019643,22.096655,21.978013,0.0125
46,94.241349,133.85,0.059555,5.75,100,1,36.984448,28.084972,33.816849,28.30321,26.436046,21.904694,21.946327,22.012936,22.09573,21.978013,0.0127777777777778
47,97.181802,136.325,0.057899,5.875,100,1,37.823683,28.461169,34.503328,28.717716,26.74006,21.901687,21.944477,22.007154,22.092955,21.976625,0.0130555555555556
48,100.096744,138.8,0.058009,6,100,1,38.710107,28.843897,35.222036,29.14952,27.055038,21.894748,21.94147,21.999985,22.083011,21.969687,0.0133333333333333
49,103.047505,141.275,0.056905,6.125,100,1,39.689348,29.265542,36.009894,29.606871,27.394318,21.904925,21.955347,22.008773,22.093417,21.979863,0.0136111111111111
50,105.878416,143.75,0.060162,6.25,100,1,40.725264,29.69276,36.786231,30.043133,27.729348,21.890585,21.946558,22.003685,22.085092,21.968299,0.0138888888888889
51,108.789357,146.225,0.058893,6.375,100,1,41.810674,30.173976,37.606013,30.497801,28.090032,21.900299,21.943089,22.013399,22.107062,21.977319,0.0141666666666667
52,111.839567,148.7,0.060218,6.5,100,1,42.866955,30.618034,38.465277,30.952962,28.448984,21.886653,21.941932,21.997209,22.081392,21.965524,0.0144444444444444
53,115.324392,151.175,0.060659,6.625,100,1,43.917553,31.07085,39.348463,31.450111,28.825511,21.881333,21.926898,21.993509,22.075842,21.947946,0.0147222222222222
54,118.508417,153.65,0.059776,6.75,100,1,44.981532,31.545937,40.255294,31.957109,29.22304,21.883877,21.920885,21.983564,22.072141,21.949565,0.015
55,122.014973,156.125,0.061874,6.875,100,1,46.105958,32.029288,41.21004,32.488829,29.643386,21.881101,21.929905,21.996516,22.078154,21.970612,0.0152777777777778
56,125.519117,158.6,0.061984,7,100,1,47.28776,32.516771,42.182851,33.051643,30.059661,21.879945,21.928749,21.992815,22.072373,21.954653,0.0155555555555556
57,129.012737,161.075,0.060107,7.125,100,1,48.453395,33.035162,43.185042,33.621023,30.494359,21.883183,21.930136,21.997903,22.083473,21.962748,0.0158333333333333
58,132.116118,163.55,0.059003,7.25,100,1,49.650343,33.545063,44.163062,34.189185,30.940347,21.876938,21.926898,21.993278,22.071679,21.95234,0.0161111111111111
59,135.526174,166.025,0.057126,7.375,100,1,50.856687,34.09657,45.167268,34.791326,31.420307,21.881795,21.939388,22.003454,22.089255,21.965986,0.0163888888888889
60,138.844174,168.5,0.06342,7.5,100,1,52.082587,34.660365,46.245594,35.391988,31.889279,21.868148,21.920653,21.983101,22.068441,21.94517,0.0166666666666667
61,142.677457,170.975,0.059666,7.625,100,1,53.277142,35.273664,47.403532,36.068104,32.387362,21.8737,21.912558,21.987958,22.068441,21.953728,0.0169444444444444
62,146.307874,173.45,0.062647,7.75,100,1,54.490877,35.90077,48.58059,36.741975,32.90513,21.883414,21.927361,21.983564,22.070291,21.95951,0.0172222222222222
63,149.600061,175.925,0.060107,7.875,100,1,55.849069,36.521581,49.767952,37.372796,33.43523,21.873931,21.915565,21.978476,22.061503,21.938463,0.0175
64,153.110042,178.4,0.06088,8,100,1,57.268986,37.180578,50.894807,38.030373,33.98405,21.866298,21.912558,21.971537,22.056878,21.937307,0.0177777777777778
65,156.751552,180.875,0.065518,8.125,100,1,58.674889,37.902763,52.001446,38.707374,34.559334,21.872081,21.917878,21.979632,22.071679,21.947715,0.0180555555555556
66,160.62906,183.35,0.058893,8.25,100,1,60.065307,38.643382,53.189303,39.423794,35.156241,21.863754,21.914871,21.98472,22.064278,21.945633,0.0183333333333333
67,164.454105,185.825,0.059114,8.375,100,1,61.449541,39.430394,54.333776,40.160686,35.754417,21.867686,21.916028,21.976163,22.068904,21.946789,0.0186111111111111
68,167.7132,188.3,0.059555,8.5,100,1,62.922962,40.218225,55.636756,40.939381,36.36778,21.855889,21.910014,21.967374,22.055721,21.935456,0.0188888888888889
69,171.198953,190.775,0.05823,8.625,100,1,64.517789,41.02688,57.014348,41.72346,37.005887,21.865141,21.907932,21.972462,22.065897,21.938232,0.0191666666666667
70,174.942293,193.25,0.057016,8.75,100,1,66.100228,41.829752,58.387628,42.493402,37.656617,21.849875,21.917647,21.966218,22.064278,21.931293,0.0194444444444444
71,178.700725,195.725,0.060218,8.875,99.921487,1,67.680929,42.650009,59.84893,43.246064,38.332478,21.854964,21.918109,21.962286,22.07191,21.938926,0.0197222222222222
72,182.774023,198.2,0.056905,9,99.756998,1,69.248362,43.47946,61.384261,44.025239,39.030013,21.851494,21.904694,21.96298,22.058959,21.924817,0.02
73,186.183275,200.675,0.055359,9.125,99.197596,1,70.924171,44.340307,62.901213,44.859657,39.76534,21.852188,21.902844,21.964136,22.067979,21.928517,0.0202777777777778
74,189.748868,203.15,0.056629,9.25,99.231892,1,72.647991,45.198297,64.346127,45.733371,40.518837,21.853576,21.909089,21.959742,22.066128,21.92713,0.0205555555555556
75,193.551565,205.625,0.061432,9.375,99.0536,1,74.361089,46.051412,65.84038,46.634098,41.305471,21.847099,21.907932,21.953728,22.060578,21.925742,0.0208333333333333
76,197.898921,208.1,0.06491,9.5,98.57103,1,76.157127,46.894697,67.320628,47.557502,42.079771,21.856814,21.909089,21.96483,22.071216,21.931756,0.0211111111111111
77,201.564038,210.575,0.059886,9.625,97.454911,1,77.862384,47.765254,68.845183,48.514396,42.87467,21.858202,21.914871,21.963905,22.069829,21.934762,0.0213888888888889
78,205.217633,213.05,0.060549,9.75,96.935962,1,79.562903,48.644748,70.315176,49.430451,43.679251,21.853807,21.913483,21.960898,22.072835,21.922504,0.0216666666666667
79,208.710992,215.525,0.060549,9.875,96.362737,1,81.427806,49.53724,71.852243,50.343896,44.483535,21.838541,21.898218,21.954653,22.067285,21.920191,0.0219444444444444
80,212.519658,218,0.060549,10,95.888722,1,83.387719,50.4707,73.440786,51.228821,45.308365,21.84016,21.899605,21.946558,22.070522,21.926204,0.0222222222222222
81,216.130377,220.475,0.058396,10.125,95.034065,1,85.491744,51.379002,75.053595,52.133974,46.148054,21.840623,21.903769,21.951878,22.065435,21.910939,0.0225
82,220.117302,222.95,0.061211,10.25,94.308762,1,87.312828,52.367449,76.684511,53.12038,47.006431,21.84895,21.914408,21.955347,22.084861,21.912789,0.0227777777777778
83,224.183404,225.425,0.061874,10.375,93.133707,1,89.102749,53.370606,78.417337,54.167883,47.86991,21.839466,21.896599,21.951415,22.082548,21.91464,0.0230555555555556
84,228.39586,227.9,0.061211,10.5,91.79328,1,90.972186,54.444964,80.130252,55.243778,48.71568,21.838772,21.902381,21.947946,22.079773,21.919728,0.0233333333333333
85,232.558699,230.375,0.060991,10.625,90.214038,1,92.97731,55.56298,81.996191,56.359063,49.625737,21.838541,21.908395,21.948177,22.094342,21.917647,0.0236111111111111
86,236.700362,232.85,0.060659,10.75,88.589268,1,94.978095,56.691566,83.789012,57.454831,50.548311,21.839929,21.913021,21.944939,22.099893,21.915334,0.0238888888888889
87,240.265628,235.325,0.064193,10.875,86.892491,1,97.017835,57.767607,85.519972,58.543279,51.480468,21.838078,21.894979,21.944708,22.100818,21.918803,0.0241666666666667
88,243.765271,237.8,0.05812,11,85.695532,1,99.049926,58.817719,87.188213,59.622431,52.430545,21.83137,21.900068,21.946096,22.10128,21.909783,0.0244444444444444
89,247.704068,240.275,0.063475,11.125,84.505447,1,101.102619,59.858133,88.859001,60.713651,53.392226,21.831833,21.901687,21.933375,22.112149,21.913252,0.0247222222222222
90,251.279674,242.75,0.057789,11.25,82.807085,1,103.321117,60.953287,90.706528,61.869444,54.365963,21.842473,21.907932,21.939388,22.116312,21.914871,0.025
91,255.45896,245.225,0.065076,11.375,81.400681,1,105.551368,62.082063,92.663191,63.044031,55.341186,21.836922,21.904694,21.93615,22.119087,21.912789,0.0252777777777778
92,259.63801,247.7,0.061432,11.5,79.312682,1,107.756428,63.198948,94.737208,64.300858,56.358838,21.833683,21.894054,21.935456,22.122556,21.917415,0.0255555555555556
93,263.626747,250.175,0.06088,11.625,77.130244,1,109.917721,64.370331,96.794734,65.605381,57.40517,21.824893,21.892435,21.919497,22.118856,21.907932,0.0258333333333333
94,267.171607,252.65,0.061322,11.75,75.048736,1,111.837074,65.580962,98.87907,66.876763,58.46669,21.829288,21.903306,21.92898,22.132731,21.907238,0.0261111111111111
95,271.039855,255.125,0.062371,11.875,73.339338,1,113.929128,66.780012,100.844177,68.134123,59.553062,21.831833,21.908626,21.926667,22.141287,21.910014,0.0263888888888889
96,274.277123,257.6,0.062978,12,71.238133,1,116.017108,67.973808,102.762203,69.395434,60.66249,21.835534,21.90585,21.933606,22.148918,21.907007,0.0266666666666667
97,277.670432,260.075,0.054034,12.125,69.708033,1,118.072365,69.150984,104.661758,70.66142,61.758867,21.837616,21.900762,21.932912,22.157937,21.913946,0.0269444444444444
98,281.495472,262.55,0.062095,12.25,67.975209,1,120.141472,70.291227,106.33701,71.937057,62.88664,21.831833,21.910014,21.926898,22.168112,21.914177,0.0272222222222222
99,284.583821,265.025,0.060328,12.375,65.747643,1,122.277377,71.421675,108.04994,73.073818,64.022502,21.839004,21.920885,21.926436,22.181293,21.904231,0.0275
100,287.660309,267.5,0.059666,12.5,64.20223,1,124.416172,72.602342,109.813138,74.196631,65.163572,21.841317,21.915334,21.93083,22.203029,21.920191,0.0277777777777778
101,290.544642,269.975,0.058341,12.625,62.634933,1,126.408607,73.822291,111.523684,75.265038,66.307647,21.845249,21.917415,21.936613,22.203723,21.923892,0.0280555555555556
102,293.892161,272.45,0.061764,12.75,61.231712,1,128.437419,75.070376,113.124754,76.339261,67.439537,21.847562,21.918572,21.934068,22.221759,21.922041,0.0283333333333333
103,297.32588,274.925,0.059224,12.875,59.329699,1,130.5909,76.340156,114.515061,77.432086,68.580561,21.832527,21.91996,21.925048,22.232858,21.923892,0.0286111111111111
104,300.295991,277.4,0.060991,13,57.290618,1,132.627716,77.618704,115.984169,78.519156,69.73926,21.843861,21.931524,21.929674,22.245807,21.925973,0.0288888888888889
105,303.525926,279.875,0.060439,13.125,55.67476,1,134.527451,78.829539,117.511369,79.648619,70.92059,21.848256,21.936381,21.924817,22.261068,21.918572,0.0291666666666667
106,306.330304,282.35,0.059666,13.25,53.764356,1,136.314228,80.035803,119.115937,80.734347,72.088556,21.85427,21.942857,21.928749,22.27656,21.937538,0.0294444444444444
107,309.226135,284.825,0.056905,13.375,52.249388,1,138.109822,81.197242,120.973051,81.863436,73.225081,21.865835,21.951646,21.936613,22.301994,21.94147,0.0297222222222222
108,312.054837,287.3,0.065959,13.5,50.622128,1,140.206165,82.325963,122.841988,83.063931,74.348111,21.854039,21.946558,21.92181,22.304306,21.93083,0.03
