"Time","Temperature","T_Setpoint","Heat Flux","HF_Setpoint","duty cycle","control mode","TC51","TC52","TC53","TC54","TC55","TC56","TC57","TC58","TC59","TC60","hours"
0,20.146185,742,0.061598,45,100,1,20.84023,20.744149,20.739982,20.719375,20.683718,20.638798,20.593645,20.562384,20.570257,20.57072,0
1,20.144563,742,0.06226,45,100,1,20.822867,20.75179,20.744844,20.723311,20.699231,20.638566,20.604296,20.570257,20.564004,20.570951,0.000277777777777778
2,20.198999,742,0.056077,45,100,1,20.834906,20.755031,20.73975,20.714976,20.683024,20.622126,20.592024,20.56632,20.559373,20.567941,0.000555555555555556
3,20.507038,742,0.060715,45,100,1,20.834443,20.761745,20.744149,20.722385,20.688349,20.637409,20.603833,20.579056,20.579751,20.583456,0.000833333333333333
4,21.098569,742,0.058396,45,100,1,20.829812,20.744612,20.733499,20.714976,20.68696,20.62861,20.586003,20.568636,20.56192,20.573962,0.00111111111111111
5,21.923429,742,0.062371,45,100,1,20.829812,20.739519,20.734193,20.719375,20.687191,20.628378,20.592718,20.562152,20.562615,20.565857,0.00138888888888889
6,22.965622,742,0.059279,45,100,1,20.836989,20.74276,20.746233,20.714513,20.683487,20.64065,20.604991,20.568636,20.572109,20.577667,0.00166666666666667
7,24.179286,742,0.062923,45,100,1,20.82796,20.745075,20.739982,20.718217,20.682329,20.62421,20.59295,20.556363,20.560763,20.566783,0.00194444444444444
8,25.53363,742,0.061377,45,100,1,20.827497,20.750632,20.741602,20.710808,20.686728,20.64505,20.595497,20.562152,20.564699,20.571183,0.00222222222222222
9,27.012217,742,0.060549,45,100,1,20.826571,20.747622,20.750401,20.72007,20.675614,20.628147,20.606149,20.564699,20.572804,20.576741,0.0025
10,28.657722,742,0.056905,45,100,1,20.826803,20.752947,20.743455,20.719838,20.67793,20.633241,20.603139,20.570025,20.564931,20.571878,0.00277777777777778
11,30.408077,742,0.058065,45,100,1,20.827497,20.753873,20.736046,20.717986,20.692285,20.629999,20.598044,20.567478,20.560068,20.567478,0.00305555555555556
12,32.256335,742,0.061929,45,100,1,20.82796,20.752716,20.740908,20.715208,20.68094,20.644587,20.602212,20.571415,20.560068,20.571415,0.00333333333333333
13,34.177294,742,0.054862,45,100,1,20.821015,20.743223,20.73373,20.71104,20.681403,20.628841,20.590634,20.549184,20.55451,20.560068,0.00361111111111111
14,36.170136,742,0.064855,45,100,1,20.831896,20.756883,20.74577,20.7247,20.688117,20.630694,20.60638,20.568173,20.560994,20.571183,0.00388888888888889
15,38.247049,742,0.057623,45,100,1,20.822635,20.746233,20.732341,20.708724,20.683024,20.62861,20.593645,20.560994,20.562615,20.56933,0.00416666666666667
16,40.333977,742,0.060273,45,100,1,20.832128,20.746233,20.745307,20.713587,20.677003,20.629999,20.592487,20.565162,20.557984,20.568636,0.00444444444444444
17,42.496353,742,0.055635,45,100,1,20.837221,20.764987,20.747854,20.729563,20.691591,20.637872,20.601054,20.572341,20.569099,20.574888,0.00472222222222222
18,44.715792,742,0.060052,45,100,1,20.83097,20.752253,20.752484,20.718912,20.690664,20.646902,20.59735,20.570951,20.56933,20.572341,0.005
19,47.042165,742,0.061156,45,100,1,20.826571,20.743455,20.741371,20.718912,20.689044,20.634167,20.602444,20.572804,20.572341,20.576741,0.00527777777777778
20,49.332685,742,0.06491,45,100,1,20.820089,20.754337,20.742528,20.722154,20.689738,20.647365,20.60638,20.574656,20.562847,20.573499,0.00555555555555556
21,51.712461,742,0.056629,45,100,1,20.833517,20.754337,20.748317,20.727016,20.696684,20.642734,20.612169,20.565625,20.577898,20.576046,0.00583333333333333
22,54.18319,742,0.05674,45,100,1,20.831433,20.757578,20.741371,20.725164,20.689738,20.642271,20.600591,20.575351,20.571646,20.57072,0.00611111111111111
23,56.586583,742,0.058727,45,100,1,20.832359,20.749474,20.74878,20.721922,20.690664,20.63903,20.609391,20.572572,20.570951,20.573267,0.00638888888888889
