"Time","Temperature","T_Setpoint","Heat Flux","HF_Setpoint","duty cycle","control mode","TC31","TC32","TC33","TC34","TC35","TC36","TC37","TC38","TC39","TC40","hours"
0,21.362172,742,0.051992,45,100,1,21.541961,21.620856,21.479258,21.582913,21.461673,21.583607,21.585921,21.660417,21.651163,21.567412,0
1,21.377676,742,0.052875,45,100,1,21.556769,21.624789,21.484349,21.578286,21.465144,21.58916,21.600728,21.658104,21.647693,21.578286,0.000277777777777778
2,21.569032,742,0.0489,45,100,1,21.53664,21.608363,21.472548,21.577823,21.469077,21.5688,21.583839,21.651626,21.634737,21.565098,0.000555555555555556
3,22.005535,742,0.052544,45,100,1,21.571345,21.634506,21.501239,21.603504,21.527848,21.586384,21.592168,21.660417,21.650701,21.580368,0.000833333333333333
4,22.734518,742,0.049894,45,100,1,21.587078,21.631961,21.539416,21.623633,21.584302,21.588929,21.59587,21.656716,21.64029,21.582451,0.00111111111111111
5,23.672504,742,0.050335,45,100,1,21.606049,21.622938,21.57389,21.645148,21.670597,21.580137,21.572965,21.641909,21.640059,21.571345,0.00138888888888889
6,24.784116,742,0.049231,45,100,1,21.666895,21.634969,21.629879,21.686791,21.781868,21.577823,21.577361,21.651626,21.639827,21.576667,0.00166666666666667
7,26.047381,742,0.049562,45,100,1,21.740229,21.657641,21.722417,21.748095,21.928055,21.585458,21.578517,21.662962,21.654171,21.581757,0.00194444444444444
8,27.4148,742,0.052433,45,100,1,21.799449,21.640753,21.79274,21.792972,22.07746,21.583376,21.575278,21.651626,21.636357,21.566486,0.00222222222222222
9,28.984311,742,0.048127,45,100,1,21.903769,21.673835,21.895905,21.866529,22.26338,21.582219,21.590317,21.650701,21.639596,21.575741,0.0025
10,30.673557,742,0.046692,45,100,1,22.003685,21.701134,22.021725,21.959742,22.463372,21.578055,21.581757,21.645148,21.636126,21.565098,0.00277777777777778
11,32.429279,742,0.043048,45,100,1,22.129493,21.719872,22.166262,22.045777,22.684593,21.585458,21.590086,21.651857,21.637745,21.572733,0.00305555555555556
12,34.333236,742,0.047244,45,100,1,22.250432,21.747863,22.307312,22.138743,22.923103,21.576204,21.578286,21.651395,21.64029,21.57042,0.00333333333333333
13,36.293383,742,0.049342,45,100,1,22.405575,21.771459,22.479555,22.24442,23.19922,21.574584,21.578749,21.637976,21.64029,21.571808,0.00361111111111111
14,38.320404,742,0.043269,45,100,1,22.555842,21.809627,22.664022,22.373669,23.49698,21.572733,21.579212,21.642141,21.646999,21.573196,0.00388888888888889
15,40.436529,742,0.043048,45,100,1,22.727353,21.852651,22.867178,22.514462,23.783346,21.574816,21.57551,21.646536,21.639365,21.566255,0.00416666666666667
16,42.614377,742,0.04879,45,100,1,22.917094,21.904694,23.090399,22.64553,24.12504,21.574122,21.576667,21.635894,21.637282,21.561396,0.00444444444444444
17,44.807097,742,0.04371,45,100,1,23.114428,21.945864,23.329052,22.805703,24.485089,21.574122,21.579674,21.639596,21.631036,21.564173,0.00472222222222222
18,47.162029,742,0.045477,45,100,1,23.33321,22.003685,23.575507,22.976021,24.867857,21.559777,21.562785,21.631036,21.632655,21.559314,0.005
19,49.533403,742,0.049342,45,100,1,23.586593,22.062428,23.851924,23.174961,25.276778,21.579443,21.576667,21.644917,21.633581,21.567875,0.00527777777777778
20,52.02376,742,0.050335,45,100,1,23.839456,22.146143,24.150894,23.349843,25.71067,21.570882,21.579443,21.645842,21.628491,21.567875,0.00555555555555556
21,54.463194,742,0.048348,45,100,1,24.109805,22.197248,24.454397,23.538323,26.148535,21.55862,21.570882,21.631499,21.615535,21.549828,0.00583333333333333
22,56.936805,742,0.045698,45,100,1,24.40178,22.285346,24.808109,23.747785,26.626295,21.562322,21.563247,21.627797,21.633118,21.555381,0.00611111111111111
23,59.574838,742,0.049783,45,100,1,24.718826,22.381761,25.186843,23.986528,27.166685,21.571577,21.575972,21.639827,21.63682,21.553299,0.00638888888888889
24,62.221333,742,0.039956,45,100,1,25.045237,22.480711,25.557606,24.233067,27.724517,21.576435,21.586847,21.645611,21.633118,21.567181,0.00666666666666667
25,64.864671,742,0.0436,45,100,1,25.374546,22.572254,25.933082,24.478858,28.313788,21.569263,21.570882,21.640059,21.621782,21.561859,0.00694444444444444
